Regions
Region I (Ilocos Region)
Region II (Cagayan Valley)
Region III (Central Luzon)
Region IV-A (CALABARZON)
Region IV-B (MIMAROPA)
Region V (Bicol Region)
Region VI (Western Visayas)
Region VII (Central Visayas)
Region VIII (Eastern Visayas)
Region IX (Zamboanga Peninzula)
Region X (Northern Mindanao)
Region XI (Davao Region)
Region XII (SOCCSKSARGEN)
National Capital Region (NCR)
Cordillera Administrative Region (CAR)
Autonomous Region in Muslim Mindanao (ARMM)
Region XIII (Caraga)
