Example,Commodity Title
Sugar CRM,Customer relationship management CRM software
Supervisory control and data acquisition SCADA software,Industrial control software
Tax software,Accounting software
Teradata Database,Data base management system software
The MathWorks MATLAB,Analytical or scientific software
Vanguard Software Vanguard Sales Manager,Customer relationship management CRM software
Veritas NetBackup,Backup or archival software
vtiger CRM,Customer relationship management CRM software
Yardi software,Data base user interface and query software
YouTube,Video creation and editing software
Adobe FrameMaker,Desktop publishing software
Antenna House,Desktop publishing software
Apple iWork Keynote,Presentation software
Apple iWork Pages,Word processing software
Apple Numbers for Mac,Spreadsheet software
Cisco AnyConnect,Access software
Cisco Webex,Video conferencing software
Corel WordPerfect Office Suite,Office suite software
GoodReader,Word processing software
iAnnotate,Word processing software
Legislative Automative Workflow System LAWS,Data base user interface and query software
LogMeIn GoToMeeting,Video conferencing software
Mapping software,Map creation software
Meeting scheduling software,Calendar and scheduling software
Penultimate,Word processing software
PTC Arbortext,Desktop publishing software
Rocket/Folio NXT,Desktop publishing software
Windows Media Player,Music or sound editing software
XMetaL Author,Word processing software
Actuate BIRT,Business intelligence and data analysis software
Adobe Acrobat Reader,Document management software
Adobe After Effects,Video creation and editing software
Adobe Dreamweaver,Web page creation and editing software
Adobe Experience Manager (AEM),Web page creation and editing software
Adobe Illustrator,Graphics or photo imaging software
Adobe InDesign,Desktop publishing software
Adobe PageMaker,Desktop publishing software
Adobe Premiere Pro,Video creation and editing software
AdRelevance,Data base reporting software
Apple iMovie,Video creation and editing software
Avid Media Composer,Video creation and editing software
Brainworks,Enterprise resource planning ERP software
Business analysis software,Analytical or scientific software
Constant Contact,Customer relationship management CRM software
Customer relationship management CRM software,Customer relationship management CRM software
Data visualization software,Analytical or scientific software
Data warehousing software,Document management software
Drupal,Web platform development software
Experience in Software Webplanner,Project management software
Google Analytics,Analytical or scientific software
Google DoubleClick,Business intelligence and data analysis software
Hootsuite,Enterprise application integration software
Hypertext markup language HTML,Web platform development software
IBM Lotus Notes,Electronic mail software
Instagram,Web page creation and editing software
Inventory tracking software,Inventory management software
JavaScript,Web platform development software
MailChimp,Electronic mail software
MarketSharp,Customer relationship management CRM software
Microsoft Dynamics Marketing,Data base user interface and query software
Microsoft SQL Server,Data base management system software
PaloAlto Advertising Plan Pro,Data base user interface and query software
Pinterest,Information retrieval or search software
Quark enterprise publishing software,Desktop publishing software
Relex Weibull,Analytical or scientific software
Social media software,Web page creation and editing software
Twitter,Instant messaging software
Vimeo,Video creation and editing software
WebTrends Analytics,Analytical or scientific software
Webtrends software,Sales and marketing software
WordPress,Web page creation and editing software
Adobe ActionScript,Development environment software
AEC Software FastTrack Schedule,Data base user interface and query software
Amazon Redshift,Data base user interface and query software
Apache Cassandra,Data base management system software
Apache Hive,Data base management system software
Apache Pig,Data base management system software
Apache Solr,Data base management system software
Armand Morin MultiTrack Generator,Transaction server software
Asana,Cloud-based data access and sharing software
C,Development environment software
Canva,Graphics or photo imaging software
Cascading style sheets CSS,Web platform development software
ClearEDGE,Data base user interface and query software
Dynamic hypertext markup language DHTML,Web platform development software
Elasticsearch,Data base management system software
Extensible hypertext markup language XHTML,Web platform development software
Figma,Graphical user interface development software
GitHub,Application server software
Google Meet,Video conferencing software
JamBoard,Graphics or photo imaging software
Jupyter Notebook,Object or component oriented development software
Kapwing,Video creation and editing software
LAMP Stack,Web platform development software
